Angle (radians),Distance (mm)
6.278276568658352,194.25
0.10144726277217041,5125.75
0.2882520342746885,294.25
0.30897781914212114,287.25
0.33161255787892263,282.5
0.35561083509384467,279.0
0.38942658935123475,276.5
0.40878883574054686,277.5
0.4278783744342349,280.5
0.44833145160604343,284.5
0.46851182108222783,290.5
1.0368346587628814,230.5
1.0461067204141012,229.75
1.0842857978014773,230.75
1.0771953977152502,231.5
1.1317369368400731,232.75
1.1273736137100872,234.0
1.155189798663747,235.5
1.2018228146154704,237.0
1.2252756764391441,238.75
1.2140946609185554,240.75
1.2596368460877825,243.0
1.2787263847814705,245.0
1.3128148467344847,247.5
1.3291773084719316,250.25
1.3299954315588038,253.0
1.3504485087306124,256.0
1.382900724509882,259.25
1.4036265093773148,262.75
1.4300791558528538,266.5
1.4527138945896552,270.25
1.4723488486745915,274.5
1.4895294334989106,278.75
1.516527495365698,283.5
1.5386168187112512,288.5
1.5631605113174214,293.0
1.5729779883598896,299.0
1.6043393733566627,305.5
2.1944788266872455,1250.25
2.2173862731196707,1249.75
2.241384550334593,1276.5
2.3264693513693167,2836.25
2.3501949208886144,2878.25
2.529091169218033,1164.25
2.552271323346083,1161.25
2.5751787697785082,1172.25
2.5986316316021822,1188.0
2.62235720112148,1204.75
2.6452646475539057,1224.75
2.9027007122230692,604.75
2.9247900355686225,615.25
2.9493337281747927,620.0
2.973332005389715,623.75
2.997602990300261,629.25
3.0196923136458143,635.75
3.043417883165112,639.25
3.065234498815041,640.5
3.088687360638715,644.75
3.1110493916798925,648.0
3.136411207372935,651.0
3.1595913615009845,653.25
3.239222008623226,1052.5
3.263220285838148,1030.0
3.2885821015311905,1006.75
3.3125803787461128,985.25
3.336851363656659,966.0
3.3597588100890845,948.25
3.385120625782127,933.75
3.4077553645189282,919.5
3.4314809340382264,905.25
3.457115457426893,889.25
3.4797501961636947,874.0
3.504293888769865,862.25
3.5302011198541554,849.5
3.552563150895333,838.0
3.625103397931347,820.5
3.650737921320014,803.5
3.6760997370130566,792.25
3.6973709372717374,785.75
3.7208237990954114,792.5
3.7720928458727445,771.5
3.7941821692182978,766.75
3.8170896156507235,762.75
3.8413606005612695,759.5
3.865358877776192,757.0
3.937353709420958,751.5
4.0090758333701,747.5
4.418682792197519,315.75
4.753567842423931,285.25
4.793110458289427,279.0
4.819835812460591,275.25
5.337707726450783,3206.0
5.408339019617428,3642.75
5.4320645891367265,3623.75
5.456335574047273,3612.75
5.479515728175323,3601.0
5.503514005390245,3587.5
5.70340874628272,183.75
5.727407023497642,182.75
5.75113259301694,181.75
5.7751308702318624,180.0
5.799129147446784,177.5
5.822854716966082,176.5
5.84658028648538,176.0
5.870578563700302,175.0
5.8945768409152235,174.0
5.922665733564508,174.5
5.94202797995382,175.5
5.965753549473118,176.0
5.989479118992415,176.5
6.013204688511713,177.0
6.037202965726635,177.75
6.0609285352459334,178.25
6.084654104765232,179.0
6.108379674284529,180.0
6.132105243803827,181.0
6.155830813323125,182.5
6.1787382597555505,183.5
